" ""keeper"" "," ""g"" "," ""nameKeeper"" "," ""collection"" "," ""collectionLabel"" "," ""artHistorian"" "," ""numberOfItems"" "," ""artHistorianName"" "," ""period"" "," ""periodLabel"" "," ""address"" "," ""cityKeeper"" "," ""cityKeeperLabel"" "," ""districtKeeper"" "," ""districtKeeperLabel"" "," ""countryKeeper"" "," ""countryKeeperLabel"" "," ""websiteKeeper"" ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,
" ""wd:Q1634770"" "," ""art:1611658234-4876647/"" "," ""     Fondazione Roberto Longhi"" "," ""art:collectionarchivio-longhi"" "," ""Archivio Longhi"" "," ""wd:Q1361667"" "," ""278 boxes"" "," ""                 Roberto Longhi"" "," ""wd:Q7016"" "," ""                   17th century"" "," ""via Benedetto Fortini"," 30"" "," ""wd:Q2044"" "," ""                  Florence"" "," ""wd:Q16172"" "," ""                  Province of Florence"" "," ""wd:Q38"" "," ""                   Italy"" "," ""https://fondazionelonghi.it/wordpress/it/"" ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,
" ""wd:Q1634770"" "," ""art:1611658234-4876647/"" "," ""Fondazione Roberto Longhi"" "," ""art:collectionarchivio-longhi"" "," ""Archivio Longhi"" "," ""wd:Q1361667"" "," ""278 boxes"" "," ""Roberto Longhi"" "," ""wd:Q4692"" "," ""                   Renaissance"" "," ""via Benedetto Fortini"," 30"" "," ""wd:Q2044"" "," ""                  Florence"" "," ""wd:Q16172"" "," ""                  Province of Florence"" "," ""wd:Q38"" "," ""                   Italy"" "," ""https://fondazionelonghi.it/wordpress/it/"" ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,
" ""wd:Q1634770"" "," ""art:1611658234-4876647/"" "," ""     Fondazione Roberto Longhi"" "," ""art:collectionarchivio-longhi"" "," ""Archivio Longhi"" "," ""wd:Q1361667"" "," ""278 boxes"" "," ""Roberto Longhi"" "," ""wd:Q4692"" "," ""                   Renaissance"" "," ""via Benedetto Fortini"," 30"" "," ""wd:Q2044"" "," ""                  Florence"" "," ""wd:Q16172"" "," ""                  Province of Florence"" "," ""wd:Q38"" "," ""                   Italy"" "," ""https://fondazionelonghi.it/wordpress/it/"" ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,
" ""wd:Q1634770"" "," ""art:1611658234-4876647/"" "," ""Fondazione Roberto Longhi"" "," ""art:collectionarchivio-longhi"" "," ""Archivio Longhi"" "," ""wd:Q1361667"" "," ""278 boxes"" "," ""                 Roberto Longhi"" "," ""wd:Q4692"" "," ""                   Renaissance"" "," ""via Benedetto Fortini"," 30"" "," ""wd:Q2044"" "," ""                  Florence"" "," ""wd:Q16172"" "," ""                  Province of Florence"" "," ""wd:Q38"" "," ""                   Italy"" "," ""https://fondazionelonghi.it/wordpress/it/"" ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,
" ""wd:Q1634770"" "," ""art:1611658234-4876647/"" "," ""     Fondazione Roberto Longhi"" "," ""art:collectionarchivio-longhi"" "," ""Archivio Longhi"" "," ""wd:Q1361667"" "," ""278 boxes"" "," ""                 Roberto Longhi"" "," ""wd:Q4692"" "," ""                   Renaissance"" "," ""via Benedetto Fortini"," 30"" "," ""wd:Q2044"" "," ""                  Florence"" "," ""wd:Q16172"" "," ""                  Province of Florence"" "," ""wd:Q38"" "," ""                   Italy"" "," ""https://fondazionelonghi.it/wordpress/it/"" ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,
" ""wd:Q1634770"" "," ""art:1611658234-4876647/"" "," ""Fondazione Roberto Longhi"" "," ""art:collectionarchivio-longhi"" "," ""Archivio Longhi"" "," ""wd:Q1361667"" "," ""278 boxes"" "," ""Roberto Longhi"" "," ""wd:Q7018"" "," ""                   15th century"" "," ""via Benedetto Fortini"," 30"" "," ""wd:Q2044"" "," ""                  Florence"" "," ""wd:Q16172"" "," ""                  Province of Florence"" "," ""wd:Q38"" "," ""                   Italy"" "," ""https://fondazionelonghi.it/wordpress/it/"" ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,
" ""wd:Q1634770"" "," ""art:1611658234-4876647/"" "," ""     Fondazione Roberto Longhi"" "," ""art:collectionarchivio-longhi"" "," ""Archivio Longhi"" "," ""wd:Q1361667"" "," ""278 boxes"" "," ""Roberto Longhi"" "," ""wd:Q7018"" "," ""                   15th century"" "," ""via Benedetto Fortini"," 30"" "," ""wd:Q2044"" "," ""                  Florence"" "," ""wd:Q16172"" "," ""                  Province of Florence"" "," ""wd:Q38"" "," ""                   Italy"" "," ""https://fondazionelonghi.it/wordpress/it/"" ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,
" ""wd:Q1634770"" "," ""art:1611658234-4876647/"" "," ""Fondazione Roberto Longhi"" "," ""art:collectionarchivio-longhi"" "," ""Archivio Longhi"" "," ""wd:Q1361667"" "," ""278 boxes"" "," ""                 Roberto Longhi"" "," ""wd:Q7018"" "," ""                   15th century"" "," ""via Benedetto Fortini"," 30"" "," ""wd:Q2044"" "," ""                  Florence"" "," ""wd:Q16172"" "," ""                  Province of Florence"" "," ""wd:Q38"" "," ""                   Italy"" "," ""https://fondazionelonghi.it/wordpress/it/"" ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,
" ""wd:Q1634770"" "," ""art:1611658234-4876647/"" "," ""     Fondazione Roberto Longhi"" "," ""art:collectionarchivio-longhi"" "," ""Archivio Longhi"" "," ""wd:Q1361667"" "," ""278 boxes"" "," ""                 Roberto Longhi"" "," ""wd:Q7018"" "," ""                   15th century"" "," ""via Benedetto Fortini"," 30"" "," ""wd:Q2044"" "," ""                  Florence"" "," ""wd:Q16172"" "," ""                  Province of Florence"" "," ""wd:Q38"" "," ""                   Italy"" "," ""https://fondazionelonghi.it/wordpress/it/"" ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,
" ""wd:Q1634770"" "," ""art:1611658234-4876647/"" "," ""Fondazione Roberto Longhi"" "," ""art:collectionarchivio-longhi"" "," ""Archivio Longhi"" "," ""wd:Q1361667"" "," ""278 boxes"" "," ""Roberto Longhi"" "," ""wd:Q7034"" "," ""                   14th century"" "," ""via Benedetto Fortini"," 30"" "," ""wd:Q2044"" "," ""                  Florence"" "," ""wd:Q16172"" "," ""                  Province of Florence"" "," ""wd:Q38"" "," ""                   Italy"" "," ""https://fondazionelonghi.it/wordpress/it/"" ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,
