Full Name,Gender,Collection,Keeper
"Accascina, Maria",female,,Comune di Palermo
"Agostini, Leonardo",male,,Scuola Normale Superiore
"Alfieri, Vittorio ",male,,Biblioteca Medicea Laurenziana
"Alinari, Giuseppe",male,Archivio Alinari,Museo Nazionale Alinari della Fotografia
"Alinari, Leopoldo",male,Archivio Alinari,Museo Nazionale Alinari della Fotografia
"Arcangeli, Francesco",male,"Fondo speciale Angelo, Gaetano, Bianca e Francesco Arcangeli",Biblioteca comunale dell'Archiginnasio
"Aretino, Pietro",male,Fondo Bongi,State Archives of Lucca
"Argan, Giulio Carlo",male,,Private archive in Rome
"Arias, Paolo Enrico",male,,Scuola Normale Superiore
"Baglione, Giovanni  ",male,,Archivio di Stato di Roma
"Baldini, Umberto",male,,
"Baldinucci, Filippo",male,,National Central Library of Florence
"Bandinelli, Baccio",male,,State Archives of Siena
"Banti, Luisa ",female,,University of Florence
"Barocchi, Paola",female,,Scuola Normale Superiore
"Baroni, Costantino",male,,Società Storica Lombarda
"Baruffaldi, Girolamo Cluento Nettunio",male,,
"Becatti, Giovanni",male,,
"Bellori, Giovanni Pietro",male,,
"Bellosi, Luciano",male,Archivio Luciano Bellosi,University of Siena
"Bertelli, Carlo",male,,
"Berti, Luciano",male,,
"Bertini Calosso, Achille",male,Fondo Bertini Calosso,Biblioteca di archeologia e storia dell'arte
"Bianchi Bandinelli, Ranuccio",male,Fondo Ranuccio Bianchi Bandinelli,State Archives of Siena
"Bianchini, Francesco",male,,
"Bianconi, Giovanni Ludovico ",male,,Getty Research Institute
"Billi, Antonio",male,,National Central Library of Florence
"Biondo, Michelangelo",male,,Bibliothèque nationale de France
"Bologna, Ferdinando",male,,
"Bolognini Amorini, Antonio",male,Archivio Cincinnato Baruzzi,Biblioteca comunale dell'Archiginnasio
"Boni, Giacomo",male,Boni-Tea Archive,Lombard Institute Academy of Science and Letters
"Bonicatti, Maurizio",male,,
"Borea, Evelina",female,,
"Borghini, Raffaello",male,,Fondazione Memofonte
"Boschini, Marco ",male,,University Library Heidelberg
"Bossi, Giuseppe",male,Fondo Giuseppe Bossi,Ambrosian Library
"Bottari, Giovanni Gaetano",male,,
"Brandi, Cesare",male,,
"Brizio, Anna Maria",female,Fondo Brizio,University of Milan
"Brizio, Edoardo",male,Archivio Edoardo Brizio,Biblioteca comunale dell'Archiginnasio
"Bucarelli, Palma",female,Fondo Bucarelli Palma,Central Archives of the State
"Calabrese, Omar",male,Fondo Omar Calabrese,University of Siena
"Calvi, Girolamo Luigi",male,Carte di Girolamo Luigi Calvi,University of Milan
"Campori, Giuseppe",male,Fondo speciale Giuseppe Campori,Biblioteca comunale dell'Archiginnasio
"Carli, Enzo",male,Fondo Carli Enzo,University of Siena
"Carocci, Guido",male,Fondo Carocci Guido,Biblioteca degli Uffizi di Firenze
"Castiglione, Baldassarre",male,Archivio Pubblico Castiglioni,National Archives Mantua
"Causa, Raffaello",male,,
"Cecchi, Emilio",male,Fondo Emilio Cecchi,"Gabinetto scientifico letterario G. P. Vieusseux. Archivio contemporaneo Alessandro Bonsanti, Firenze (FI)"
"Cellini, Benvenuto ",male,,
"Cesnola, Luigi Palma di ",male,Luigi Palma Collection,Metropolitan Museum of Art
"Cevese, Renato",male,,
"Cicognara, Leopoldo",male,Leopoldo Cicognara letters,Getty Research Institute
"Coletti, Luigi",male,Fondo famiglia Coletti,Fondazione Benetton
"Condivi, Ascanio",male,Fondo Ascanio Condivi,"Comune di Ripatransone, Ripatransone (AP)"
"Croce, Benedetto",male,,"Fondazione ""Biblioteca Benedetto Croce"""
"D'Ancona, Mirella Levi",female,,
"d'Ancona, Paolo",male,,Lombardia Beni Culturali
"De Vecchi, Pierluigi",male,Fondo De Vecchi,University of Milan
"Di Marzo, Gioacchino ",male,,BEIC Digital Library
"Dominici, Bernardo de'",male,,
"Ducati, Pericule",male,,
"Facio, Bartolomeo",male,,Lincean Academy
"Fagiolo dell'Arco, Maurizio",male,,Galleria Nazionale d'Arte Moderna e Contemporanea
Filarete,male,,The Nelson-Atkins Museum of Art
"Fiocco, Giuseppe",male,,BEIC Digital Library
"François, Alessandro",male,,JSTOR
"Frizzoni, Gustavo",male,,University Library Heidelberg
"Fea, Carlo",male,,BEIC Digital Library
"Gabburri, Francesco Maria Niccolo",male,,Fondazione Memofonte
"Gamba, Carlo",male,,Biblioteca Marucelliana
"Gasparini, Graziano",male,,Museo Nacional Centro de Arte Reina Sofía
"Gelli, Giambattista",male,,BEIC Digital Library
"Ghiberti, Lorenzo",male,,
"Giglioli, Giulio",male,,Biblioteca di archeologia e storia dell'arte
"Ginzburg, Carlo",male,,
"Cavalcaselle, Giovanni Battista",male,,Biblioteca Nazionale Marciana
"Giovannoni, Gustavo",male,,"Centro studi per la storia dell'architettura. Casa dei Crescenzi, Roma (RM)"
"Gnoli, Umberto",male,,Galleria Nazionale d'Arte Moderna e Contemporanea
"Gnudi, Cesare ",male,,BEIC Digital Library
"Gori, Antonio Francesco",male,,BEIC Digital Library
"Gualandi, Michelangelo",male,,Biblioteca dell'Archiginnasio
"Guarnacci, Mario",male,,Biblioteca Guarnacci (Volterra) 
"Guattani, Giuseppe Antonio",male,,
"Guicciardini, Lodovico",male,ASR historic collection,"Comune di Varese. Biblioteca civica, Varese (VA)"
"La Corte Callier, Gaetano",male,,
"Lamo, Pietro",male,,
