Place Entity,Coordinates,Place,lat,lon,Latitude,Longitude,Place
Q2759,"12º38'13.92""E, 43º43'30.86""N",Urbino,"12º38'13.92""E","43º43'30.86""N",43.725238888,12.6372,Urbino
Q13134,"12º54'47.88""E, 43º54'36.54""N",Pesaro,"12º54'47.88""E","43º54'36.54""N",43.91015,12.9133,Pesaro
Q34130,"14º31'60.00""E, 36º57'0.00""N",Vittoria,"14º31'60.00""E","36º57'0.00""N",36.95,14.533333333,Vittoria
Q8621,"12º39'0.00""E, 42º33'60.00""N",Terni,"12º39'0.00""E","42º33'60.00""N",42.566666666,12.65,Terni
Q29080,"11º28'60.00""E, 44º27'0.00""N",Ozzano dell'Emilia,"11º28'60.00""E","44º27'0.00""N",44.45,11.483333333,Ozzano dell'Emilia
Q13362,"11º37'11.51""E, 44º50'7.07""N",Ferrara,"11º37'11.51""E","44º50'7.07""N",44.835297,11.619865,Ferrara
Q18484193,"11º43'36.41""E, 43º44'55.00""N",Borgo alla Collina,"11º43'36.41""E","43º44'55.00""N",43.74861,11.72678,Borgo alla Collina
Q216853,"10º18'0.00""E, 43º55'60.00""N",Camaiore,"10º18'0.00""E","43º55'60.00""N",43.933333333,10.3,Camaiore
Q17660,"8º48'37.00""E, 44º58'54.00""N",Sale,"8º48'37.00""E","44º58'54.00""N",44.981666666,8.810277777,Sale
Q243371,"12º49'60.00""E, 42º0'60.00""N",San Polo dei Cavalieri,"12º49'60.00""E","42º0'60.00""N",42.016666666,12.833333333,San Polo dei Cavalieri
Q279,"10º55'32.59""E, 44º38'44.95""N",Modena,"10º55'32.59""E","44º38'44.95""N",44.64582,10.92572,Modena
Q6537,"11º33'0.00""E, 45º32'60.00""N",Vicenza,"11º33'0.00""E","45º32'60.00""N",45.55,11.55,Vicenza
Q91228,"11º12'60.00""E, 43º23'60.00""N",Monteriggioni,"11º12'60.00""E","43º23'60.00""N",43.4,11.216666666,Monteriggioni
Q220,"12º28'58.00""E, 41º53'35.00""N",Rome,"12º28'58.00""E","41º53'35.00""N",41.893055555,12.482777777,Rome
Q18021,"8º3'12.00""E, 45º33'59.00""N",Biella,"8º3'12.00""E","45º33'59.00""N",45.566388888,8.053333333,Biella
Q51871,"17º37'60.00""E, 40º30'0.00""N","Oria, Apulia","17º37'60.00""E","40º30'0.00""N",40.5,17.633333333,"Oria, Apulia"
Q244388,"9º1'60.00""E, 45º48'60.00""N",Cavallasca,"9º1'60.00""E","45º48'60.00""N",45.816666666,9.033333333,Cavallasca
Q1533,"66º55'60.00""E, 10º30'0.00""N",Caracas,"66º55'60.00""E","10º30'0.00""N",10.5,66.933333333,Caracas
Q72672,"14º22'25.00""E, 40º37'40.00""N",Sorrento,"14º22'25.00""E","40º37'40.00""N",40.627777777,14.373611111,Sorrento
Q13364,"12º12'6.00""E, 44º24'58.00""N",Ravenna,"12º12'6.00""E","44º24'58.00""N",44.416111111,12.201666666,Ravenna
Q490,"9º11'24.00""E, 45º28'1.00""N",Milan,"9º11'24.00""E","45º28'1.00""N",45.466944444,9.19,Milan
Q6122,"8º12'25.00""E, 44º53'60.00""N",Asti,"8º12'25.00""E","44º53'60.00""N",44.9,8.206944444,Asti
Q6247,"10º47'28.00""E, 45º9'23.00""N",Mantua,"10º47'28.00""E","45º9'23.00""N",45.156388888,10.791111111,Mantua
,,,,,,,
Q2656,"13º21'40.54""E, 38º6'56.37""N",Palermo,"13º21'40.54""E","38º6'56.37""N",38.115658055,13.361261944,Palermo
Q242942,"12º38'40.01""E, 42º2'1.42""N",Mentana,"12º38'40.01""E","42º2'1.42""N",42.033728,12.6444485,Mentana
Q2807,"3º41'31.00""E, 40º25'8.00""N",Madrid,"3º41'31.00""E","40º25'8.00""N",40.416666666,3.7025,Madrid
Q1155,"8º51'6.48""E, 45º36'43.05""N",Busto Arsizio,"8º51'6.48""E","45º36'43.05""N",45.611958333,8.8518,Busto Arsizio
Q13367,"12º2'27.00""E, 44º13'21.00""N",Forlì,"12º2'27.00""E","44º13'21.00""N",44.2225,12.040833333,Forlì
Q20571,"12º43'60.00""E, 42º43'60.00""N",Spoleto,"12º43'60.00""E","42º43'60.00""N",42.733333333,12.733333333,Spoleto
Q159696,"12º25'34.21""E, 42º13'10.27""N",Calcata,"12º25'34.21""E","42º13'10.27""N",42.21952,12.42617,Calcata
Q20146,"12º45'60.00""E, 42º48'60.00""N",Campello sul Clitunno,"12º45'60.00""E","42º48'60.00""N",42.816666666,12.766666666,Campello sul Clitunno
Q617,"11º52'40.00""E, 45º24'23.00""N",Padua,"11º52'40.00""E","45º24'23.00""N",45.406388888,11.877777777,Padua
Q65,"118º14'37.25""E, 34º3'8.03""N",Los Angeles,"118º14'37.25""E","34º3'8.03""N",34.05223,118.24368,Los Angeles
Q10226,"7º42'60.00""E, 45º19'60.00""N",Rivarolo Canavese,"7º42'60.00""E","45º19'60.00""N",45.331216,7.717134,Rivarolo Canavese
Q12892,"4º23'59.00""E, 51º13'16.00""N",Antwerp,"4º23'59.00""E","51º13'16.00""N",51.221111111,4.399722222,Antwerp
Q210098,"9º13'60.00""E, 44º21'0.00""N",Rapallo,"9º13'60.00""E","44º21'0.00""N",44.35,9.233333333,Rapallo
Q495,"7º42'0.00""E, 45º3'60.00""N",Turin,"7º42'0.00""E","45º3'60.00""N",45.066666666,7.7,Turin
Q6596,"13º37'9.48""E, 45º56'6.72""N",Gorizia,"13º37'9.48""E","45º56'6.72""N",45.9352,13.6193,Gorizia
Q48457,"11º9'60.00""E, 45º30'60.00""N",Tregnago,"11º9'60.00""E","45º30'60.00""N",45.516666666,11.166666666,Tregnago
Q190584,"12º43'15.85""E, 43º49'14.02""N",Colbordolo,"12º43'15.85""E","43º49'14.02""N",43.820561111,12.721069444,Colbordolo
Q3661494,"10º32'59.89""E, 45º8'27.71""N",Casatico,"10º32'59.89""E","45º8'27.71""N",45.14103,10.54997,Casatico
Q2966,"8º42'36.00""E, 49º24'44.00""N",Heidelberg,"8º42'36.00""E","49º24'44.00""N",49.412222222,8.71,Heidelberg
Q94638,"11º16'60.00""E, 44º28'60.00""N",Casalecchio di Reno,"11º16'60.00""E","44º28'60.00""N",44.483333333,11.283333333,Casalecchio di Reno
