;Keeper;Keeper Place;Keeper Place Entity;Latitude;Longitude
0;Comune di Palermo;Palermo;Q2656;38.115658055;13.361261944
1;Scuola Normale Superiore;Pisa;Q13375;43.716666666;10.4
2;Biblioteca Medicea Laurenziana;Florence;Q2044;43.771388888;11.254166666
3;Museo Nazionale Alinari della Fotografia;Florence;Q2044;43.771388888;11.254166666
4;Museo Nazionale Alinari della Fotografia;Florence;Q2044;43.771388888;11.254166666
5;Biblioteca comunale dell'Archiginnasio;Bologna;Q1891;44.493888888;11.342777777
6;State Archives of Lucca;Lucca;Q13373;43.85;10.516666666
7;Archivio privato a Roma;Rome;Q220;41.893055555;12.482777777
8;Scuola Normale Superiore;Pisa;Q13375;43.716666666;10.4
9;Archivio di Stato di Roma;Rome;Q220;41.893055555;12.482777777
10;National Central Library of Florence;Florence;Q2044;43.771388888;11.254166666
11;State Archives of Siena;Siena;Q2751;43.318333333;11.331388888
12;University of Florence;Florence;Q2044;43.771388888;11.254166666
13;Scuola Normale Superiore;Pisa;Q13375;43.716666666;10.4
14;Società Storica Lombarda;Milan;Q490;45.466944444;9.19
15;University of Siena;Siena;Q2751;43.318333333;11.331388888
16;Biblioteca di archeologia e storia dell'arte;Rome;Q220;41.893055555;12.482777777
17;State Archives of Siena;Siena;Q2751;43.318333333;11.331388888
18;Getty Research Institute;Los Angeles;Q65;34.05223;118.24368
19;National Central Library of Florence;Florence;Q2044;43.771388888;11.254166666
20;Bibliothèque nationale de France;Paris;Q90;48.856944444;2.351388888
21;Biblioteca comunale dell'Archiginnasio;Bologna;Q1891;44.493888888;11.342777777
22;Lombard Institute Academy of Science and Letters;Milan;Q490;45.466944444;9.19
23;Fondazione Memofonte;Florence;Q2044;43.771388888;11.254166666
24;University Library Heidelberg;Heidelberg;Q2966;49.412222222;8.71
25;Ambrosian Library;Milan;Q490;45.466944444;9.19
26;University of Milan;Milan;Q490;45.466944444;9.19
27;Biblioteca comunale dell'Archiginnasio;Bologna;Q1891;44.493888888;11.342777777
28;Central Archives of the State;Rome;Q220;41.893055555;12.482777777
29;University of Siena;Siena;Q2751;43.318333333;11.331388888
30;University of Milan;Milan;Q490;45.466944444;9.19
31;Biblioteca comunale dell'Archiginnasio;Bologna;Q1891;44.493888888;11.342777777
32;University of Siena;Siena;Q2751;43.318333333;11.331388888
33;Biblioteca degli Uffizi di Firenze;Florence;Q2044;43.771388888;11.254166666
34;National Archives Mantua;Mantua;Q6247;45.156388888;10.791111111
35;Gabinetto scientifico letterario G. P. Vieusseux. Archivio contemporaneo Alessandro Bonsanti, Firenze (FI);Florence;Q2044;43.771388888;11.254166666
36;Metropolitan Museum of Art;Manhattan;Q11299;40.728333333;73.994166666
37;Getty Research Institute;Los Angeles;Q65;34.05223;118.24368
38;Fondazione Benetton;Treviso;Q5475;45.672219444;12.242219444
39;Comune di Ripatransone, Ripatransone (AP);Ripatransone;Q56086;43.000216666;13.762491666
40;"Fondazione ""Biblioteca Benedetto Croce""";Naples;Q2634;40.833333333;14.25
41;Lombardia Beni Culturali;Lombardy;Q1210;45.65;9.95
42;University of Milan;Milan;Q490;45.466944444;9.19
43;BEIC Digital Library;Milan;Q490;45.466944444;9.19
44;Lincean Academy;Rome;Q220;41.893055555;12.482777777
45;Galleria Nazionale d'Arte Moderna e Contemporanea;Rome;Q220;41.893055555;12.482777777
46;The Nelson-Atkins Museum of Art;Kansas City;Q41819;39.05;94.583333333
47;BEIC Digital Library;Milan;Q490;45.466944444;9.19
48;JSTOR;New York City;Q60;40.7;74.0
49;University Library Heidelberg;Heidelberg;Q2966;49.412222222;8.71
50;BEIC Digital Library;Milan;Q490;45.466944444;9.19
51;Fondazione Memofonte;Florence;Q2044;43.771388888;11.254166666
52;Biblioteca Marucelliana;Florence;Q2044;43.771388888;11.254166666
53;Museo Nacional Centro de Arte Reina Sofía;Madrid;Q2807;40.416666666;3.7025
